Index,Compound name,A site,A'site,B site,B'site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Energy,Fermi_energy,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_group_LS,Space_group_No_LS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,Q_R-,Q_R+,Q_T,Q_AFE_(A),Q_AFE_(O),CD_(2D),CD_(3D),target_label
Comp_32,GdMgMnNiO6_C,Gd,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.89,0.53,0.69,0.9715,0.61,0.837651185,-129.97752,3.66102946,5.151761,5.248938,7.46111,89.739822,90.184578,92.746101,201.523233,P-1,2,P42/mmc,131,-7.993,1.368,1.6125,-0.012166667,2.099,5.946,0.639,0.085,0.06,0,0.384,0.6305,4.8915,0.394,0.5765,8.2715,1.565,3.400166667,-0.015645815,0.015645815,-0.059314635,-0.059314635,-0.008259997,0.008259957,-0.039012354,0.039012314,0.015645815,0.059314635,0.008259977,0.039012334,0.061343438,0.039877179,16.65021298,25.22424501,0.00023,0.41814,0,0.30153,0,0.081665,0,0
Comp_33,GdMgMnNiO6_C,Gd,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.89,0.53,0.69,0.71,0.61,0.743295904,-129.97752,3.18740656,5.151761,5.248938,7.46111,89.739822,90.184578,92.746101,201.523233,P-1,2,P42/mmc,131,-7.993,1.368,1.6125,-0.012166667,2.099,5.946,0.639,0.085,0.06,0,0.384,0.6305,4.8915,0.394,0.5765,8.2715,1.565,3.400166667,-0.015645815,0.015645815,-0.059314635,-0.059314635,-0.008259997,0.008259957,-0.039012354,0.039012314,0.015645815,0.059314635,0.008259977,0.039012334,0.061343438,0.039877179,2.425774527,8.490779149,0.00023,0.41814,0,0.30153,0,0.081665,0,0
Comp_34,GdSnMnNiO6_C,Gd,Sn,Mn,Ni,3,4,8,8,4,3,6,6,1.053,0.81,0.53,0.69,0.9315,0.61,0.823218255,-132.68467,6.0016581,5.23456,5.50556,7.553271,88.20636,88.844749,92.815346,217.258501,P-1,2,P42/mmc,131,9.706,2.756,1.752,0.052,0.247,6.591,1.284,1.158,1.612,0.638,0.319,0.4745,4.9475,0.364,0.474,8.221,1.559833333,3.4585,-0.02047708,0.02047708,-0.074445501,-0.074445501,0.013244098,-0.013244138,-0.066273687,0.066273647,0.02047708,0.074445501,0.013244118,0.066273667,0.077210384,0.067584063,22.9151576,27.67791294,0.24911,1.46628,0,2.30205,0,0.284435,0,0
Comp_35,GdSnMnNiO6_C,Gd,Sn,Mn,Ni,3,4,8,8,4,3,6,6,1.053,0.81,0.53,0.69,0.67,0.61,0.728862974,-132.68467,6.00157563,5.23456,5.50556,7.553271,88.20636,88.844749,92.815346,217.258501,P-1,2,P42/mmc,131,9.706,2.756,1.752,0.052,0.247,6.591,1.284,1.158,1.612,0.638,0.319,0.4745,4.9475,0.364,0.474,8.221,1.559833333,3.4585,-0.02047708,0.02047708,-0.074445501,-0.074445501,0.013244098,-0.013244138,-0.066273687,0.066273647,0.02047708,0.074445501,0.013244118,0.066273667,0.077210384,0.067584063,22.91986172,27.67556465,0.24911,1.46628,0,2.30205,0,0.284435,0,0
Comp_36,GdSnMnNiO6_L,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.9315,0.61,0.823218255,-132.60738,5.98544998,5.217313,5.465586,7.494729,90,89.586777,90,213.71167,P21,4,P4/nmm,129,8.375,2.4645,1.734,0.021583333,0.2475,6.599,1.3175,1.3545,1.214,0.397,0.3555,0.568,4.93,0.364,0.482,8.229,1.564083333,3.441583333,-0.020078834,0.020078813,-0.06624759,-0.06624759,0.015474248,-0.015474268,0.061783911,0.06178389,0.020078823,0.06624759,0.015474258,0.061783901,0.069223568,0.063692253,19.76532875,23.39520451,0,1.21135,1.78493,0.95133,0.26845,0.05997,0,1
Comp_37,GdSnMnNiO6_L,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.67,0.61,0.728862974,-132.60738,5.98470084,5.217313,5.465586,7.494729,90,89.586777,90,213.71167,P21,4,P4/nmm,129,8.375,2.4645,1.734,0.021583333,0.2475,6.599,1.3175,1.3545,1.214,0.397,0.3555,0.568,4.93,0.364,0.482,8.229,1.564083333,3.441583333,-0.020078834,0.020078813,-0.06624759,-0.06624759,0.015474248,-0.015474268,0.061783911,0.06178389,0.020078823,0.06624759,0.015474258,0.061783901,0.069223568,0.063692253,19.76616355,23.25002546,0,1.21135,1.78493,0.95133,0.26845,0.05997,0,1
Comp_38,GdSrMnNiO6_C,Gd,Sr,Mn,Ni,3,2,8,8,4,3,6,6,1.053,1.26,0.53,0.69,0.895,0.61,0.810048206,-157.161675,2.98419415,5.383687,5.424018,7.520857,89.569016,90.182472,89.755424,219.60882,P-1,2,P42/mmc,131,11.513,-2.315,1.5735,-0.066333333,2.132,5.972,0.882,2.007,5.785,0.269,0.3755,0.6075,4.8975,0.386,0.5395,8.2335,1.5615,3.434833333,-0.009679932,0.009679932,-0.047287532,-0.047287532,0.005774787,-0.005774827,-0.035640246,0.035640206,0.009679932,0.047287532,0.005774807,0.035640226,0.048268123,0.036105043,10.48623248,14.02870551,0.03392,0.76461,0,1.29212,0,0.15623,0,0
Comp_39,HgCeMnNiO6_C,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,1.055,0.61,0.867779927,-124.6503639,4.98396727,5.353895,5.366434,7.613361,90.324936,90.166092,90.003326,218.737475,P-1,2,P42/mmc,131,9.71,2.7345,1.7325,0.050166667,0.531,0.323,9.507,1.963,5.632,0.712,0.3605,0.58,4.8705,0.3615,0.482,8.22,1.566833333,3.415666667,8.11E-05,-8.11E-05,-0.031966823,-0.031966823,0.009239737,-0.009239777,-0.047407978,0.047407937,8.11E-05,0.031966823,0.009239757,0.047407957,0.031966926,0.048299974,15.57746991,24.82420215,0.01572,1.13613,0,1.54128,0,0.211725,0,0
Comp_40,HgCeMnNiO6_C,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,0.75,0.61,0.757728834,-124.6503639,4.98422489,5.353895,5.366434,7.613361,90.324936,90.166092,90.003326,218.737475,P-1,2,P42/mmc,131,9.71,2.7345,1.7325,0.050166667,0.531,0.323,9.507,1.963,5.632,0.712,0.3605,0.58,4.8705,0.3615,0.482,8.22,1.566833333,3.415666667,8.11E-05,-8.11E-05,-0.031966823,-0.031966823,0.009239737,-0.009239777,-0.047407978,0.047407937,8.11E-05,0.031966823,0.009239757,0.047407957,0.031966926,0.048299974,15.57512,24.82979664,0.01572,1.13613,0,1.54128,0,0.211725,0,0
Comp_41,HgCeMnNiO6_R,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,1.055,0.61,0.867779927,-124.5143916,4.92014284,5.319862,5.428161,7.592105,90.000786,89.921471,89.998039,219.237515,Pc,7,F-4 3m,216,9.706,2.717,1.737,0.051333333,0.502,0.309,9.53,1.965,5.625,0.738,0.36,0.581,4.869,0.358,0.473,8.208,1.567333333,3.414916667,-0.004976405,-0.00497719,-0.034537189,-0.034537189,0.015258819,0.015259757,-0.05584108,0.055852804,0.004976797,0.034537189,0.015259288,0.055846942,0.034893924,0.0578941,14.51742602,19.57360927,0,1.117,1.5187,5.60125,0,0,0.13095,2
Comp_42,HgHfMnNiO6_C,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,-126.03162,4.59697162,5.210396,5.436561,7.329834,90.625793,89.78495,89.711121,207.612986,P-1,2,P42/mmc,131,9.747,2.7835,1.739,0.048833333,0.518,0.332,9.533,0.477,0.74,2.106,0.356,0.568,4.8555,0.362,0.477,8.2245,1.561333333,3.445666667,-0.012783114,0.012783114,-0.059814479,-0.059814479,0.023003762,-0.023003802,-0.073827079,0.073827038,0.012783114,0.059814479,0.023003782,0.073827058,0.061165186,0.077327929,22.01557994,26.68016995,0.08516,1.21693,0,2.17446,0,0.289555,0,0
Comp_43,HgHfMnNiO6_L,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,-125.62965,4.48122687,5.126988,5.337204,7.612506,90,89.843864,90,208.306161,P21,4,P4/nmm,129,9.728,2.7455,1.7545,0.051,0.5355,0.3405,9.5105,0.477,0.7775,2.121,0.359,0.569,4.8675,0.3545,0.4595,8.205,1.561,3.44725,0.000850707,-0.000850727,-0.028747479,-0.028747479,0.025596696,-0.025596717,0.081985433,0.081985412,0.000850717,0.028747479,0.025596707,0.081985423,0.028760064,0.085888305,21.58608752,24.47433094,0,1.56389,1.62855,0.62474,0.87254,0.0727,0,1
Comp_44,HgHfMnNiO6_R,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,-125.52583,4.58892428,5.153926,5.428085,7.468561,89.991501,89.992592,89.986549,208.940087,Pc,7,F-4 3m,216,9.737,2.767,1.749,0.048583333,0.499,0.324,9.548,0.495,0.7525,2.1715,0.354,0.564,4.852,0.354,0.462,8.203,1.561333333,3.444166667,-0.009285975,-0.009239786,-0.051231606,-0.051231606,0.033814825,0.033728326,-0.073346292,0.073209977,0.00926288,0.051231606,0.033771575,0.073278135,0.052062255,0.080685837,17.45452014,15.63488507,0,1.1709,2.0602,5.30975,0,0,0.13905,2
Comp_45,HgSnMnNiO6_C,Hg,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.81,0.53,0.69,0.67,0.61,0.728862974,-104.94253,4.59059343,5.204405,5.394288,7.519999,90.703911,90.346886,89.952278,211.097039,P-1,2,P42/mmc,131,9.732,2.795,1.743,0.0445,0.514,0.332,9.532,1.126,1.553,0.604,0.3545,0.5615,4.8345,0.3565,0.4605,8.204,1.567166667,3.412916667,-0.010603681,0.010603681,-0.050634485,-0.050634485,0.031287295,-0.031287335,-0.06486199,0.064861949,0.010603681,0.050634485,0.031287315,0.06486197,0.051732863,0.072013688,22.35504293,23.02538976,0.10934,1.03378,0,2.22151,0,0.263035,0,0
Comp_46,HgSnMnNiO6_L,Hg,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.81,0.53,0.69,0.67,0.61,0.728862974,-104.83841,4.53640862,5.17713,5.320809,7.632325,90,89.847076,90,210.243234,P21,4,P4/nmm,129,9.714,2.747,1.755,0.049083333,0.5365,0.342,9.5105,1.1,1.5195,0.614,0.361,0.569,4.86,0.354,0.457,8.199,1.567666667,3.415333333,0.001944723,-0.001944743,-0.025651255,-0.025651255,0.019748857,-0.019748877,0.07191921,0.07191919,0.001944733,0.025651255,0.019748867,0.0719192,0.025724869,0.074581426,20.9608581,24.49112535,0,1.51979,1.59292,0.56831,0.79508,0.06241,0,1
Comp_47,HgTbMnNiO6_C,Hg,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.88,0.53,0.69,0.705,0.61,0.741491788,-124.664124,3.13869089,5.303149,5.347471,7.557888,90.393814,90.132668,89.518013,214.316673,P-1,2,P42/mmc,131,7.947,2.6445,1.631,-0.049,0.542,0.349,9.472,0.267,6.641,1.27,0.369,0.595,4.8595,0.3745,0.508,8.212,1.565833333,3.411333333,-0.003383254,0.003383254,-0.038987903,-0.038987903,0.01092576,-0.010925801,-0.052637463,0.052637422,0.003383254,0.038987903,0.010925781,0.052637443,0.039134422,0.0537594,15.33152675,25.14868381,0.0229,1.15678,0,1.57464,0,0.181845,0,0
Comp_48,HgTbMnNiO6_L,Hg,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.88,0.53,0.69,0.705,0.61,0.741491788,-119.22386,3.04001074,5.297922,5.370264,7.54594,90,90.16188,90,214.69051,P21,4,P4/nmm,129,7.932,2.5725,1.655,-0.043166667,0.525,0.3215,9.4795,0.2775,6.6795,1.3385,0.373,0.603,4.8585,0.37,0.498,8.2075,1.566333333,3.410083333,-0.006561797,0.006561777,-0.034382628,-0.034382628,0.013889624,-0.013889644,0.059273971,0.05927395,0.006561787,0.034382628,0.013889634,0.059273961,0.035003173,0.060879589,15.17318605,19.24085371,0,1.12131,1.44216,0.564475,0.39593,0.01246,0,1
Comp_49,HgTbMnNiO6_R,Hg,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.88,0.53,0.69,0.705,0.61,0.741491788,-119.52341,3.15833796,5.302903,5.421111,7.476892,89.986565,90.257103,89.98436,214.940721,Pc,7,F-4 3m,216,7.966,2.598,1.6835,-0.04725,0.524,0.3345,9.472,0.272,6.647,1.2805,0.3735,0.606,4.863,0.3705,0.499,8.215,1.5665,3.409916667,-0.003350327,-0.003585831,-0.031769819,-0.031769819,0.012276572,0.012300759,-0.066856307,0.066918623,0.003468079,0.031769819,0.012288666,0.066887465,0.031958551,0.068006943,14.18751475,20.8025071,0,1.1759,1.4575,5.5817,0,0,0.1343,2
Comp_50,KGdFeWO6_L,K,Gd,Fe,W,1,3,8,8,2,6,6,6,1.51,1.053,0.78,0.6,1.2815,0.69,0.912270849,-154.56579,4.24074316,5.555073,5.476591,8.08523,89.406982,90.008522,91.144974,245.91357,P21,4,P4/nmm,129,5.983,3.701,0.048,0.001237,1.962,5.5865,0.054,2.1275,5.9715,0.8465,0.2865,0.3735,6.1015,0.7205,1.113,4.165,1.55925,3.468166667,-0.01867103,-0.019132378,0.000519215,0.000519215,0.060164839,0.061639581,-0.003547027,0.00868319,0.018901704,0.000519215,0.06090221,0.006115109,0.018908834,0.061208445,6.539958012,20.83635507,0,1.01479,1.14291,0.39628,0.72768,0.03637,0,1
Comp_51,KYCoOsO6_C,K,Y,Co,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.745,0.545,1.2645,0.645,0.926822006,-137.145081,3.68107982,5.643326,5.503179,7.597544,89.858704,90.535828,88.321106,235.838575,P-1,2,P42/mmc,131,2.14,2.6955,1.3015,0.04925,1.965,5.594,0.063,2.115,6.139,0.781,0.313,0.4115,7.131,0.6655,1.047,5.822,1.559,3.444833333,0.042686227,-0.041776047,-0.011647009,-0.011647009,-0.056565705,0.057250416,-0.010220408,0.009878604,0.042231137,0.011647009,0.05690806,0.010049506,0.043807782,0.057788579,13.61713463,18.25654791,0.0615,0.9,0,1.4985,0,0.24495,0,0
Comp_52,KYCoOsO6_R,K,Y,Co,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.745,0.545,1.2645,0.645,0.926822006,-136.884969,3.72094823,5.64095,5.424294,7.691488,90.266014,89.998489,89.988007,235.342928,Pc,7,F-4 3m,216,2.146,2.689,1.3085,0.04625,1.965,5.596,0.066,2.117,6.144,0.792,0.308,0.4,7.123,0.662,1.037,5.831,1.558666667,3.441833333,0.026499703,-0.025564881,-0.004797666,-0.004797666,0.070933246,-1.025564881,0.019916818,0.019963408,0.026032292,0.004797666,0.548249063,0.019940113,0.026470697,0.54861156,14.1327154,13.66991138,0,0.8739,1.4432,0.4425,0,0,0.1437,2
Comp_53,KYCoWO6_C,K,Y,Co,W,1,3,8,8,2,6,6,6,1.51,1.019,0.745,0.6,1.2645,0.6725,0.914219976,-152.951869,3.63332955,5.620796,5.512979,7.683253,90.006844,90.552742,88.806717,238.020807,P-1,2,P42/mmc,131,5.963,2.74,0.0275,0.029083333,1.965,5.597,0.0635,2.109,6.1265,0.757,0.31,0.405,7.1235,0.714,1.129,4.106,1.559,3.471166667,0.035679195,-0.035013587,-0.006851957,-0.006851957,-0.053922496,0.054835509,-0.012774771,0.012208183,0.035346391,0.006851957,0.054379002,0.012491477,0.036004398,0.055795277,13.22418149,15.19944822,0.0746,0.8146,0,1.4905,0,0.2341,0,0
Comp_54,KYCrOsO6_R,K,Y,Cr,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.8,0.545,1.2645,0.6725,0.914219976,-147.508895,4.47263071,5.534163,5.408089,7.682301,90.046532,90.00605,90.000542,230.072985,Pc,7,F-4 3m,216,0.093,2.734,1.938,0.120583333,1.966,5.603,0.072,2.116,6.1385,0.787,0.399,0.685,4.203,0.61,0.912,5.857,1.5515,3.465916667,0.023924644,-0.023410307,-0.003795761,-0.003795761,0.058613534,-1.023410307,0.01830921,0.018453242,0.023667475,0.003795761,0.54101192,0.018381226,0.023969923,0.541324087,13.18453481,11.31112192,0,0.7571,1.368,0.3655,0,0,0.01865,2
Comp_55,KYCrWO6_C,K,Y,Cr,W,1,3,8,8,2,6,6,6,1.51,1.019,0.8,0.6,1.2645,0.7,0.901956049,-161.165165,5.61685804,5.549772,5.491229,7.669466,89.947754,90.121346,89.404137,233.714248,P-1,2,P42/mmc,131,4.885,2.8625,0.3775,0.009583333,1.965,5.596,0.065,2.108,6.122,0.761,0.388,0.659,4.2425,0.6605,0.999,4.1515,1.555333333,3.479,0.027263676,-0.026432037,-0.00637153,-0.00637153,-0.045545713,0.046392501,-0.007183579,0.006725549,0.026847856,0.00637153,0.045969107,0.006954564,0.027593546,0.046492201,11.76987906,13.75001716,0.0158,0.7843,0,1.2982,0,0.21865,0,0
Comp_56,KYCrWO6_R,K,Y,Cr,W,1,3,8,8,2,6,6,6,1.51,1.019,0.8,0.6,1.2645,0.7,0.901956049,-161.22207,4.9397195,5.748816,5.532329,7.65846,89.929016,89.983002,89.911285,243.571781,Pc,7,F-4 3m,216,7.668,3.5835,0.1885,0.009416667,1.963,5.594,0.0625,2.117,6.149,0.791,0.301,0.449,4.2565,0.701,1.085,4.118,1.5575,3.472083333,0.019388697,-0.018677819,-0.001068229,-0.001068229,0.069150811,-1.018677819,0.018268746,0.018955012,0.019033258,0.001068229,0.543914315,0.018611879,0.019063211,0.544232656,14.95530457,13.92831694,0,0.8796,1.5425,0.47305,0,0,0.23215,2
Comp_57,KYFeOsO6_C,K,Y,Fe,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.78,0.545,1.2645,0.6625,0.918762684,-142.022992,4.36292391,5.576321,5.491906,7.625298,89.950714,90.105377,88.939896,233.48147,P-1,2,P42/mmc,131,4.139,4.1605,1.899,0.031166667,1.965,5.596,0.065,2.113,6.138,0.78,0.371,0.5455,5.8545,0.6235,0.937,5.835,1.555333333,3.459416667,0.03258578,-0.031737858,-0.007977663,-0.007977663,-0.051866323,0.05257068,-0.009800048,0.009331921,0.032161819,0.007977663,0.052218502,0.009565984,0.033136471,0.053087475,12.85692642,15.59520683,0.0295,0.7562,0,1.4262,0,0.22245,0,0
Comp_58,KYFeOsO6_R,K,Y,Fe,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.78,0.545,1.2645,0.6625,0.918762684,-141.776562,4.39038397,333333,5.416034,7.682167,90.074341,90.000938,89.997253,232.701866,Pc,7,F-4 3m,216,4.125,4.141,1.867,0.03475,1.966,5.6,0.069,2.117,6.144,0.791,0.366,0.535,5.853,0.62,0.931,5.842,1.555,3.457166667,0.020758145,-0.01980211,-0.003357377,-0.003357377,0.066998877,-1.01980211,0.018460572,0.01838544,0.020280127,0.003357377,0.543400494,0.018423006,0.020556156,0.543712703,13.53815782,11.64519807,0,0.7993,1.3947,0.4047,0,0,0.05375,2
Comp_59,KYMnOsO6_R,K,Y,Mn,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.83,0.545,1.2645,0.6875,0.907489522,-145.04235,3.7085412,5.699587,5.475317,7.7657,89.985916,89.994377,89.99984,242.344577,Pc,7,F-4 3m,216,5.848,4.414,1.205,0.04775,1.964,5.592,0.063,2.118,6.145,0.795,0.219,0.274,4.935,0.657,1.021,5.836,1.560416667,3.441166667,0.025455418,-0.024710643,-0.003953325,-0.003953325,0.071054771,-1.024710643,0.020605989,0.020595606,0.02508303,0.003953325,0.547882707,0.020600798,0.02539266,0.548269873,14.96026976,13.48181235,0,0.8721,1.5334,0.4602,0,0,0.1812,2
Comp_60,KYNiOsO6_C,K,Y,Ni,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.69,0.545,1.2645,0.6175,0.939776316,-133.824261,3.769,5.588427,5.48346,7.579343,89.659645,90.491562,88.74295,232.191954,P-1,2,P42/mmc,131,0.187,1.73,1.3015,0.049,1.965,5.595,0.063,2.115,6.14,0.783,0.3445,0.455,8.223,0.667,1.0495,5.825,1.558333333,3.444666667,0.038169522,-0.037210014,-0.008234253,-0.008234253,-0.052731945,0.053381832,-0.009039184,0.008665036,0.037689768,0.008234253,0.053056889,0.00885211,0.03857877,0.053790271,13.0428225,16.5458344,0.0752,0.8419,0,1.4366,0,0.23385,0,0
Comp_61,KYNiOsO6_R,K,Y,Ni,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.69,0.545,1.2645,0.6175,0.939776316,-133.569035,3.73983435,5.600786,5.408738,7.649717,90.188576,90.008789,89.994125,231.733036,Pc,7,F-4 3m,216,0.191,1.717,1.307,0.045166667,1.966,5.5975,0.068,2.117,6.145,0.793,0.34,0.444,8.2185,0.664,1.042,5.8335,1.558,3.442166667,0.023499186,-0.022693722,-0.003461729,-0.003461729,0.06957223,-1.022693722,0.017831309,0.017917137,0.023096454,0.003461729,0.546132976,0.017874223,0.023354438,0.546425398,13.67798088,12.9203207,0,0.8399,1.4016,0.42005,0,0,0.12045,2
Comp_62,KYVOsO6_C,K,Y,V,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.64,0.545,1.2645,0.5925,0.951871249,-149.383296,4.86027952,5.513678,5.492706,7.620612,90.331238,89.767616,87.842682,230.620754,P-1,2,P42/mmc,131,2.044,1.243,1.37,0.062083333,1.964,5.595,0.063,2.113,6.135,0.776,0.4965,0.9545,3.5065,0.593,0.8655,5.946,1.554,3.464083333,0.029100445,-0.028538304,-0.007238314,-0.007238314,-0.047660474,0.04851816,-0.006455139,0.006003561,0.028819374,0.007238314,0.048089317,0.00622935,0.029714467,0.048491105,11.7857023,16.84186233,0.008,0.7975,0,1.2764,0,0.23585,0,0
Comp_63,KYVOsO6_R,K,Y,V,Os,1,3,8,8,2,6,6,6,1.51,1.019,0.64,0.545,1.2645,0.5925,0.951871249,-149.081462,4.80008819,5.552018,5.414505,7.625125,89.883148,90.001022,90.011559,229.221679,Pc,7,F-4 3m,216,1.933,1.3415,1.6245,0.109916667,1.966,5.602,0.072,2.113,6.131,0.776,0.492,0.936,3.489,0.589,0.865,5.932,1.552833333,3.463666667,0.023909625,-0.023240854,-0.003377755,-0.003377755,0.056094067,-1.023240854,0.018664508,0.018674588,0.023575239,0.003377755,0.53966746,0.018669548,0.023815985,0.539990296,12.53094263,10.96973757,0,0.7569,1.3228,0.34685,0,0,0.04105,2
Comp_64,KYVReO6_C,K,Y,V,Re,1,3,8,8,2,6,6,6,1.51,1.019,0.79,0.55,1.2645,0.67,0.915351436,-154.665305,4.8442,5.570345,5.498591,7.640725,90.043129,89.848312,88.081902,233.896114,P-1,2,P42/mmc,131,0.605,1.681,1.1485,0.010348583,1.964,5.594,0.063,2.11,6.127,0.764,0.4555,0.8445,3.488,0.571,0.8415,4.6395,1.555,3.47,0.033071779,-0.03219594,-0.007574088,-0.007574088,-0.050784139,0.051567496,-0.006458844,0.005955069,0.032633859,0.007574088,0.051175817,0.006206956,0.033501278,0.051550854,11.54092779,17.72252659,0.0309,0.8231,0,1.2842,0,0.22345,0,0
